Accident_ID,Date,Time,Latitude,Longitude,Severity,Weather,Road_Type,Vehicles_Involved,Casualties,Alcohol_Involved,Crash_Type,Accident_Cause,Hit_and_Run,Intersection_Type,Urban_Rural,Road_Lighting,Speed_Limits,Traffic_Volume,Driver_Age_Group,Driver_Gender,Emergency_Response_Time,Distance_to_Hospital,Injury_Type,Season,Day_Night,Event_Occurrence,Traffic_Camera_Footage,Vehicle_Type,Vehicle_Age,Data_Source_Link
A-0001,12-11-2024,02:10:53,18.46834331,73.83047154,Low,Clear,Intersection,5,2,FALSE,Side-impact,Drunk Driving,TRUE,T-junction,Urban,Well-lit,30,4065,40-60,Other,29,26,Minor,Winter,Day,TRUE,TRUE,Car,11,http://trafficdata.pune.example
A-0002,19-03-2024,09:21:35,18.6296325,73.94345525,Low,Cloudy,Local Road,3,1,FALSE,Side-impact,Distracted Driving,FALSE,Crosswalk,Urban,No lighting,40,1566,40-60,Other,35,11,Minor,Summer,Day,FALSE,FALSE,Car,7,http://trafficdata.pune.example
A-0003,16-05-2024,08:20:54,18.61390116,73.93262885,Moderate,Clear,Expressway,2,4,FALSE,Rollover,Road Condition,FALSE,Roundabout,Urban,No lighting,100,3970,Above 60,Other,7,13,Minor,Winter,Day,FALSE,TRUE,Pedestrian,4,http://trafficdata.pune.example
A-0004,02-02-2024,06:04:55,18.45058771,73.91117267,Low,Cloudy,Expressway,1,0,FALSE,Rear-end,Distracted Driving,FALSE,Crosswalk,Rural,Well-lit,30,1154,40-60,Female,11,16,Minor,Summer,Day,FALSE,FALSE,Bicycle,12,http://trafficdata.pune.example
A-0005,06-05-2024,10:53:04,18.45083224,73.78163172,Moderate,Foggy,Residential,2,3,FALSE,Pedestrian,Weather Conditions,FALSE,Crosswalk,Urban,No lighting,80,4440,Above 60,Female,9,1,Major,Winter,Day,FALSE,FALSE,Bicycle,2,http://trafficdata.pune.example
A-0006,23-05-2024,02:56:23,18.49075224,73.79914187,Low,Cloudy,Highway,3,0,FALSE,Side-impact,Speeding,TRUE,No Intersection,Rural,Well-lit,30,3347,25-40,Female,35,29,Minor,Monsoon,Night,FALSE,FALSE,Car,18,http://trafficdata.pune.example
A-0007,12-04-2024,04:59:16,18.64192144,73.83214417,Low,Cloudy,Highway,2,1,FALSE,Head-on,Weather Conditions,FALSE,T-junction,Rural,Dimly-lit,40,3047,Below 18,Male,26,28,Major,Winter,Night,FALSE,FALSE,Pedestrian,16,http://trafficdata.pune.example
A-0008,05-11-2024,00:11:48,18.62638729,73.77133599,Moderate,Stormy,Local Road,4,4,FALSE,Head-on,Speeding,FALSE,Crosswalk,Urban,Dimly-lit,70,2197,Above 60,Male,53,16,Minor,Winter,Day,FALSE,FALSE,Motorcycle,13,http://trafficdata.pune.example
A-0009,26-07-2024,22:30:10,18.59296943,73.85857185,Low,Cloudy,Intersection,2,4,FALSE,Rear-end,Distracted Driving,FALSE,No Intersection,Urban,Dimly-lit,100,1896,40-60,Male,15,22,Minor,Monsoon,Night,FALSE,FALSE,Car,1,http://trafficdata.pune.example
A-0010,03-02-2024,10:47:02,18.6080978,73.79710755,Severe,Rainy,Residential,5,4,FALSE,Head-on,Speeding,FALSE,Crosswalk,Rural,Well-lit,70,3917,Above 60,Female,34,12,Minor,Summer,Day,FALSE,TRUE,Bus,10,http://trafficdata.pune.example
A-0011,13-06-2024,11:48:01,18.60984446,73.8327452,Moderate,Stormy,Residential,4,2,TRUE,Rear-end,Speeding,FALSE,Y-junction,Rural,No lighting,60,1170,Below 18,Male,58,29,Minor,Winter,Night,FALSE,FALSE,Motorcycle,10,http://trafficdata.pune.example
A-0012,13-03-2024,11:42:23,18.53200378,73.86131827,Low,Foggy,Highway,2,4,FALSE,Pedestrian,Road Condition,FALSE,Crosswalk,Rural,Well-lit,30,4863,Above 60,Male,11,12,Minor,Summer,Night,FALSE,FALSE,Pedestrian,11,http://trafficdata.pune.example
